unit_id,property_id,property_name,unit_type,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,area_min_sqft,area_max_sqft,price_min,price_max,currency,payment_plan,down_payment,installment_years,availability_status,price_status,price_source,last_verified,confidence_score
26b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,26b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 2,Commercial,0,3,unknown,unknown,unknown,unknown,21000,21000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%202&pageNumber=1&pageSize=100,2026-06-24,0.80
22b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,22b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 3,Commercial,1,3,unknown,unknown,unknown,unknown,31680,31680,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%203&pageNumber=1&pageSize=100,2026-06-24,0.80
82b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,82b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Buildings 20 / A7 (Labor City),Residential,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Buildings%2020%20%2F%20A7%20(Labor%20City)&pageNumber=1&pageSize=100,2026-06-24,0.60
80b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,80b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Buildings 20 / B7 (Labor City),Residential,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Buildings%2020%20%2F%20B7%20(Labor%20City)&pageNumber=1&pageSize=100,2026-06-24,0.60
2ab8dd4b_0ad1_e811_a2b8_00155d119707_inventory,2ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Complex,Commercial,0,3,unknown,unknown,unknown,unknown,14000,14000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Complex&pageNumber=1&pageSize=100,2026-06-24,0.80
20b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,20b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Residential Villas,Villa,unknown,unknown,unknown,unknown,unknown,unknown,113400,113400,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Residential%20Villas&pageNumber=1&pageSize=100,2026-06-24,0.72
a2b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,a2b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Show Room 1,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Show%20Room%201&pageNumber=1&pageSize=100,2026-06-24,0.68
a4b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,a4b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Show Room 2,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Show%20Room%202&pageNumber=1&pageSize=100,2026-06-24,0.68
1cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,1cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Villas,Villa,unknown,unknown,unknown,unknown,unknown,unknown,75000,75000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas&pageNumber=1&pageSize=100,2026-06-24,0.72
1eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,1eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Villas 2,Villa,unknown,unknown,unknown,unknown,unknown,unknown,80000,80000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas%202&pageNumber=1&pageSize=100,2026-06-24,0.72
