audit_id,entity_id,field_name,field_value,source_url,evidence_snippet,extraction_date,confidence_score
AUD-000073,ccb8dd4b_0ad1_e811_a2b8_00155d119707,asset_id,ccb8dd4b_0ad1_e811_a2b8_00155d119707_img_01,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,asset_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000074,ccb8dd4b_0ad1_e811_a2b8_00155d119707,property_id,ccb8dd4b_0ad1_e811_a2b8_00155d119707,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,asset_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000075,ccb8dd4b_0ad1_e811_a2b8_00155d119707,asset_type,image,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,asset_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000076,ccb8dd4b_0ad1_e811_a2b8_00155d119707,asset_label,official primary project image,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,asset_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000077,ccb8dd4b_0ad1_e811_a2b8_00155d119707,asset_url,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,asset_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000078,ccb8dd4b_0ad1_e811_a2b8_00155d119707,source_url,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,asset_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000079,ccb8dd4b_0ad1_e811_a2b8_00155d119707,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,asset_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: ccb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000080,2eb8dd4b_0ad1_e811_a2b8_00155d119707,asset_id,2eb8dd4b_0ad1_e811_a2b8_00155d119707_img_01,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,asset_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000081,2eb8dd4b_0ad1_e811_a2b8_00155d119707,property_id,2eb8dd4b_0ad1_e811_a2b8_00155d119707,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,asset_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000082,2eb8dd4b_0ad1_e811_a2b8_00155d119707,asset_type,image,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,asset_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000083,2eb8dd4b_0ad1_e811_a2b8_00155d119707,asset_label,official primary project image,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,asset_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000084,2eb8dd4b_0ad1_e811_a2b8_00155d119707,asset_url,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,asset_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000085,2eb8dd4b_0ad1_e811_a2b8_00155d119707,source_url,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,asset_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000086,2eb8dd4b_0ad1_e811_a2b8_00155d119707,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,asset_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707_img_01 | property_id: 2eb8dd4b_0ad1_e811_a2b8_00155d119707 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000087,22796319_20da_ee11_a2bf_00155d119841,asset_id,22796319_20da_ee11_a2bf_00155d119841_img_01,https://www.aqaar.com/ajman-one-phase2,asset_id: 22796319_20da_ee11_a2bf_00155d119841_img_01 | property_id: 22796319_20da_ee11_a2bf_00155d119841 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728618295/Aqaar/Main%20Portal/community/images/Ajman_One_PH_II/a-j-2-1728618294.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000088,22796319_20da_ee11_a2bf_00155d119841,property_id,22796319_20da_ee11_a2bf_00155d119841,https://www.aqaar.com/ajman-one-phase2,asset_id: 22796319_20da_ee11_a2bf_00155d119841_img_01 | property_id: 22796319_20da_ee11_a2bf_00155d119841 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728618295/Aqaar/Main%20Portal/community/images/Ajman_One_PH_II/a-j-2-1728618294.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000089,22796319_20da_ee11_a2bf_00155d119841,asset_type,image,https://www.aqaar.com/ajman-one-phase2,asset_id: 22796319_20da_ee11_a2bf_00155d119841_img_01 | property_id: 22796319_20da_ee11_a2bf_00155d119841 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728618295/Aqaar/Main%20Portal/community/images/Ajman_One_PH_II/a-j-2-1728618294.png | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000090,22796319_20da_ee11_a2bf_00155d119841,asset_label,official primary project image,https://www.aqaar.com/ajman-one-phase2,asset_id: 22796319_20da_ee11_a2bf_00155d119841_img_01 | property_id: 22796319_20da_ee11_a2bf_00155d119841 | asset_type: image | asset_label: official primary project image | asset_url: https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728618295/Aqaar/Main%20Portal/community/images/Ajman_One_PH_II/a-j-2-1728618294.png | last_verified: 2026-06-24,2026-06-24,0.90
