property_id,project_id,property_name,developer,listing_url,property_type,sub_type,bedrooms,bathrooms,bua,plot_size,price,currency,ownership_type,status,source_url,last_verified
property_a6b8dd4b_0ad1_e811_a2b8_00155d119707,a6b8dd4b_0ad1_e811_a2b8_00155d119707,Al Johara,Aqaar,https://www.aqaar.com/projects/a6b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,20400,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Johara&pageNumber=1&pageSize=100,2026-06-24
property_24b8dd4b_0ad1_e811_a2b8_00155d119707,24b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 1,Aqaar,https://www.aqaar.com/projects/24b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,20000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%201&pageNumber=1&pageSize=100,2026-06-24
property_26b8dd4b_0ad1_e811_a2b8_00155d119707,26b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 2,Aqaar,https://www.aqaar.com/projects/26b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,21000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%202&pageNumber=1&pageSize=100,2026-06-24
property_22b8dd4b_0ad1_e811_a2b8_00155d119707,22b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 3,Aqaar,https://www.aqaar.com/projects/22b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,31680,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%203&pageNumber=1&pageSize=100,2026-06-24
property_82b8dd4b_0ad1_e811_a2b8_00155d119707,82b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Buildings 20 / A7 (Labor City),Aqaar,https://www.aqaar.com/projects/82b8dd4b-0ad1-e811-a2b8-00155d119707,mixed_use,mixed_use,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Buildings%2020%20%2F%20A7%20(Labor%20City)&pageNumber=1&pageSize=100,2026-06-24
property_80b8dd4b_0ad1_e811_a2b8_00155d119707,80b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Buildings 20 / B7 (Labor City),Aqaar,https://www.aqaar.com/projects/80b8dd4b-0ad1-e811-a2b8-00155d119707,mixed_use,mixed_use,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Buildings%2020%20%2F%20B7%20(Labor%20City)&pageNumber=1&pageSize=100,2026-06-24
property_2ab8dd4b_0ad1_e811_a2b8_00155d119707,2ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Complex,Aqaar,https://www.aqaar.com/projects/2ab8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,14000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Complex&pageNumber=1&pageSize=100,2026-06-24
property_20b8dd4b_0ad1_e811_a2b8_00155d119707,20b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Residential Villas,Aqaar,https://www.aqaar.com/projects/20b8dd4b-0ad1-e811-a2b8-00155d119707,villa,villa,unknown,unknown,unknown,unknown,113400,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Residential%20Villas&pageNumber=1&pageSize=100,2026-06-24
property_a2b8dd4b_0ad1_e811_a2b8_00155d119707,a2b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Show Room 1,Aqaar,https://www.aqaar.com/projects/a2b8dd4b-0ad1-e811-a2b8-00155d119707,commercial,commercial,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Show%20Room%201&pageNumber=1&pageSize=100,2026-06-24
property_a4b8dd4b_0ad1_e811_a2b8_00155d119707,a4b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Show Room 2,Aqaar,https://www.aqaar.com/projects/a4b8dd4b-0ad1-e811-a2b8-00155d119707,commercial,commercial,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Show%20Room%202&pageNumber=1&pageSize=100,2026-06-24
